ProtID	GeneXL	GeneXLok	HumanID	HumanName
A0A1L8GYC6	ube2n.L	ube2n.L	7334	UBE2N
A0A1L8GYD8	lrriq1.L	lrriq1.L	84125	LRRIQ1
A0A1L8GYI8	mdm1.L	mdm1.L	56890	MDM1
A0A1L8GYM0	cct2.L	cct2.L	10576	CCT2
A0A1L8GYM9	tbc1d15.L	tbc1d15.L	64786	TBC1D15
A0A1L8GYP1	zfc3h1.L	zfc3h1.L	196441	ZFC3H1
A0A1L8GYQ9	scaf11.L	scaf11.L	9169	SCAF11
A0A1L8GYS1	twf1.L	twf1.L	5756	TWF1
A0A1L8GYT2	cav2.L	cav2.L	858	CAV2
A0A1L8GYU1	pnpla8.L	pnpla8.L	50640	PNPLA8
A0A1L8GYV0	tmem168.L	tmem168.L	64418	TMEM168
A0A1L8GYY1	ndufa5.L	ndufa5.L	4698	NDUFA5
A0A1L8GZ01	plxnb2.L	plxnb2.L	23654	PLXNB2
A0A1L8GZ02	iqub.L	iqub.L	154865	IQUB
A0A1L8GZ04	mov10l1.L	mov10l1.L	54456	MOV10L1
A0A1L8GZ36	lrrk2.L	lrrk2.L	120892	LRRK2
A0A1L8GZ54	dld.L	dld.L	1738	DLD
A0A1L8GZ62	cog5.L	cog5.L	10466	COG5
A0A1L8GZ69	lamb1.L	lamb1.L	3912	LAMB1
A0A1L8GZ76	efcab10.L	efcab10.L	100130771	EFCAB10
A0A1L8GZD7	mcm10.L	mcm10.L	55388	MCM10
A0A1L8GZD8	upf2.L	upf2.L	26019	UPF2
A0A1L8GZG2	ptpn12.L	ptpn12.L	5782	PTPN12
A0A1L8GZG8	gdi2.L	gdi2.L	2665	GDI2
A0A1L8GZJ1	lrguk.L	lrguk.L	136332	LRGUK
A0A1L8GZN1	rbm28.L	rbm28.L	55131	RBM28
A0A1L8GZQ8	exoc4.L	exoc4.L	60412	EXOC4
A0A1L8GZT2	cpt1b.L	cpt1b.L	1375	CPT1B
A0A1L8GZV4	polr1h.L	polr1h.L	30834	POLR1H
A0A1L8GZW2	znf592.L	znf592.L	9640	ZNF592
A0A1L8GZX9	adpgkl.L	adpgkl.L	83440	ADPGK
A0A1L8GZZ6	peak1.L	peak1.L	79834	PEAK1
A0A1L8H008	nptn.L	nptn.L	27020	NPTN
A0A1L8H013	sin3a.L	sin3a.L	25942	SIN3A
A0A1L8H048	pclaf.L	pclaf.L	9768	PCLAF
A0A1L8H053	man2c1.L	man2c1.L	4123	MAN2C1
A0A1L8H092	fan1.L	fan1.L	22909	FAN1
A0A1L8H095	mphosph10.L	mphosph10.L	10199	MPHOSPH10
A0A1L8H0B7	sltm.L	sltm.L	79811	SLTM
A0A1L8H0D0	LOC108711361	adam10.L	102	ADAM10
A0A1L8H0D2	ccpg1.L	ccpg1.L	9236	CCPG1
A0A1L8H0E7	cgnl1.L	cgnl1.L	84952	CGNL1
A0A1L8H0F4	myo1e.1.L	myo1e.1.L	4643	MYO1E
A0A1L8H0G0	tex9.L	tex9.L	374618	TEX9
A0A1L8H0G4	leo1.L	leo1.L	123169	LEO1
A0A1L8H0I5	tmod2.L	tmod2.L	29767	TMOD2
A0A1L8H0J7	spata5l1.L	spata5l1.L	79029	SPATA5L1
A0A1L8H0J8	fbn1.L	fbn1.L	2200	FBN1
A0A1L8H0L3	gabpb1.L	gabpb1.L	2553	GABPB1
A0A1L8H0M4	homer2.L	homer2.L	9455	HOMER2
A0A1L8H0P4	sqor.L	sqor.L	58472	SQOR
A0A1L8H0R4	whamm.L	whamm.L	123720	WHAMM
A0A1L8H0R6	pdia3.L	pdia3.L	2923	PDIA3
A0A1L8H0T7	vps33b.L	vps33b.L	26276	VPS33B
A0A1L8H0U2	idh2.L	idh2.L	3418	IDH2
A0A1L8H0V5	pex11a.L	pex11a.L	8800	PEX11A
A0A1L8H0V8	wdr93.L	wdr93.L	56964	WDR93
A0A1L8H0X7	mesd.L	mesd.L	23184	MESD
A0A1L8H0X8	fanci.L	fanci.L	55215	FANCI
A0A1L8H104	igf1r.L	igf1r.L	3480	IGF1R
A0A1L8H150	snrpa1.L	snrpa1.L	6627	SNRPA1
A0A1L8H166	iqch.L	iqch.L	64799	IQCH
A0A1L8H191	hacd3.L	hacd3.L	51495	HACD3
A0A1L8H1C4	rab11fip1.L	rab11fip1.L	80223	RAB11FIP1
A0A1L8H1D5	blm.L	blm.L	641	BLM
A0A1L8H1E6	pcyox1.L	pcyox1.L	51449	PCYOX1
A0A1L8H1G4	gmcl1.L	gmcl1.L	64395	GMCL1
A0A1L8H1I3	uaca.L	uaca.L	55075	UACA
A0A1L8H1I9	nup133.L	nup133.L	55746	NUP133
A0A1L8H1L5	vamp8.L	vamp8.L	8673	VAMP8
A0A1L8H1M4	usp39.L	usp39.L	10713	USP39
A0A1L8H1N7	cox5b.1.L	cox5b.1.L	1329	COX5B
A0A1L8H1Q3	ogdh.L	ogdh.L	4967	OGDH
A0A1L8H1Z1	tmed4.L	tmed4.L	222068	TMED4
A0A1L8H214	fhip2b.L	fhip2b.L	64760	FHIP2B
A0A1L8H222	reep4.L	reep4.L	80346	REEP4
A0A1L8H225	piwil2.L	piwil2.L	55124	PIWIL2
A0A1L8H229	pebp4.L	pebp4.L	157310	PEBP4
A0A1L8H238	dpysl2.L	dpysl2.L	1808	DPYSL2
A0A1L8H259	ap3m2.L	ap3m2.L	10947	AP3M2
A0A1L8H2D5	ash2l.L	ash2l.L	9070	ASH2L
A0A1L8H2H0	akap8l.L	akap8l.L	26993	AKAP8L
A0A1L8H2K5	prkaca.L	prkaca.L	5566	PRKACA
A0A1L8H2T7	kri1.L	kri1.L	65095	KRI1
A0A1L8H2V9	dnajb1.L	dnajb1.L	3337	DNAJB1
A0A1L8H2X4	dand5.L	dand5.L	199699	DAND5
A0A1L8H2Z3	lgals9.L	lgals9.L	3965	LGALS9
A0A1L8H2Z8	syce2.L	syce2.L	256126	SYCE2
A0A1L8H300	get3.L	get3.L	439	GET3
A0A1L8H328	cc2d1a.L	cc2d1a.L	54862	CC2D1A
A0A1L8H349	c3.L	c3.L	718	C3
A0A1L8H3B1	trappc14.L	trappc14.L	55262	TRAPPC14
A0A1L8H3R0	wrap53.L	wrap53.L	55135	WRAP53
A0A1L8H3R4	pld2.L	pld2.L	5338	PLD2
A0A1L8H3X6	fis1.L	fis1.L	51024	FIS1
A0A1L8H465	arhgef15.L	arhgef15.L	22899	ARHGEF15
A0A1L8H476	fbxo24.L	fbxo24.L	26261	FBXO24
A0A1L8H493	lrch4.L	lrch4.L	4034	LRCH4
A0A1L8H4A9	acadvl.L	acadvl.L	37	ACADVL
A0A1L8H4E1	gigyf1.L	gigyf1.L	64599	GIGYF1
A0A1L8H4E2	mepce.L	mepce.L	56257	MEPCE
A0A1L8H4F4	pop7.L	pop7.L	10248	POP7
A0A1L8H4P4	polr2a.L	polr2a.L	5430	POLR2A
A0A1L8H4S4	rpl23a.L	rpl23a.L	6147	RPL23A
A0A1L8H4T2	sdf2.S	sdf2.S	6388	SDF2
A0A1L8H4U5	coro6.S	coro6.S	84940	CORO6
A0A1L8H4V2	efcab5.S	efcab5.S	374786	EFCAB5
A0A1L8H4V3	nufip2.S	nufip2.S	57532	NUFIP2
A0A1L8H4W8	trpv2.S	trpv2.S	51393	TRPV2
A0A1L8H4X3	cenpv.S	cenpv.S	201161	CENPV
A0A1L8H513	cxadr.S	cxadr.S	1525	CXADR
A0A1L8H527	gabpa.S	gabpa.S	2551	GABPA
A0A1L8H537	cct8.S	cct8.S	10694	CCT8
A0A1L8H569	mis18a.S	mis18a.S	54069	MIS18A
A0A1L8H575	scaf4.S	scaf4.S	57466	SCAF4
A0A1L8H5B1	paxbp1.S	paxbp1.S	94104	PAXBP1
A0A1L8H5C0	hmgn1.S	hmgn1.S	3150	HMGN1
A0A1L8H5E3	zbtb21.S	zbtb21.S	49854	ZBTB21
A0A1L8H5G8	atp5po.S	atp5po.S	539	ATP5PO
A0A1L8H5K7	kpna1.S	kpna1.S	3836	KPNA1
A0A1L8H5N3	wars2.S	wars2.S	10352	WARS2
A0A1L8H5Q1	atp6v1a.S	atp6v1a.S	523	ATP6V1A
A0A1L8H632	pafah1b1.S	pafah1b1.S	5048	PAFAH1B1
A0A1L8H638	baz1b.S	baz1b.S	9031	BAZ1B
A0A1L8H661	smtnl2.S	smtnl2.S	342527	SMTNL2
A0A1L8H692	sike1.S	sike1.S	80143	SIKE1
A0A1L8H698	cux1.S	cux1.S	1523	CUX1
A0A1L8H6D0	efhc2.S	efhc2.S	80258	EFHC2
A0A1L8H6E1	nme7.S	nme7.S	29922	NME7
A0A1L8H6I9	mid1.S	mid1.S	4281	MID1
A0A1L8H6Q3	tbc1d22b.S	tbc1d22b.S	55633	TBC1D22B
A0A1L8H6R5	brpf3.S	brpf3.S	27154	BRPF3
A0A1L8H6U7	bltp3a.S	uhrf1bp1.S	54887	BLTP3A
A0A1L8H6V8	zc3h11a.S	zc3h11a.S	9877	ZC3H11A
A0A1L8H723	dhrs11.S	dhrs11.S	79154	DHRS11
A0A1L8H748	sars1.S	sars1.S	6301	SARS1
A0A1L8H754	synrg.S	synrg.S	11276	SYNRG
A0A1L8H762	srgap2.S	srgap2.S	23380	SRGAP2
A0A1L8H7B4	cep85.S	cep85.S	64793	CEP85
A0A1L8H7C4	ipo9.S	ipo9.S	55705	IPO9
A0A1L8H7K3	tekt2.S	tekt2.S	27285	TEKT2
A0A1L8H7L8	tmem35b.S	tmem35b.S	100506144	TMEM35B
A0A1L8H7N3	mecr.S	mecr.S	51102	MECR
A0A1L8H7P1	sfpq.S	sfpq.S	6421	SFPQ
A0A1L8H7S8	cdca8.S	cdca8.S	55143	CDCA8
A0A1L8H7T6	khdrbs1.S	khdrbs1.S	10657	KHDRBS1
A0A1L8H7V8	luzp1.S	luzp1.S	7798	LUZP1
A0A1L8H7Z5	rlf.S	rlf.S	6018	RLF
A0A1L8H7Z9	ints2.S	ints2.S	57508	INTS2
A0A1L8H809	nle1.S	nle1.S	54475	NLE1
A0A1L8H831	taf15.S	taf15.S	8148	TAF15
A0A1L8H862	smg8.S	smg8.S	55181	SMG8
A0A1L8H880	vkorc1l1.S	vkorc1l1.S	154807	VKORC1L1
A0A1L8H891	por.S	por.S	5447	POR
A0A1L8H898	trim37.S	trim37.S	4591	TRIM37
A0A1L8H8A8	mrm3.S	mrm3.S	55178	MRM3
A0A1L8H8C2	ppm1e.S	ppm1e.S	22843	PPM1E
A0A1L8H8I8	LOC108709681	prps2.S	5634	PRPS2
A0A1L8H8J4	akap1.S	akap1.S	8165	AKAP1
A0A1L8H8J6	gtf2i.S	gtf2i.S	2969	GTF2I
A0A1L8H8K3	zzef1.S	zzef1.S	23140	ZZEF1
A0A1L8H8N5	zbtb11.S	zbtb11.S	27107	ZBTB11
A0A1L8H8Q0	rev1.S	rev1.S	51455	REV1
A0A1L8H8R4	mrpl30.S	mrpl30.S	51263	MRPL30
A0A1L8H901	tpp2.S	tpp2.S	7174	TPP2
A0A1L8H935	LOC108709730	slc9a7.S	84679	SLC9A7
A0A1L8H9B2	tdrd3.S	tdrd3.S	81550	TDRD3
A0A1L8H9C2	elf1.S	elf1.S	1997	ELF1
A0A1L8H9D9	LOC108709791	tsc22d1.S	8848	TSC22D1
A0A1L8H9H8	nckap5l.S	nckap5l.S	57701	NCKAP5L
A0A1L8H9I0	ccdc65.S	ccdc65.S	85478	CCDC65
A0A1L8H9I4	pibf1.S	pibf1.S	10464	PIBF1
A0A1L8H9I5	prpf40b.S	prpf40b.S	25766	PRPF40B
A0A1L8H9K4	skic8.S	wdr61.S	80349	SKIC8
A0A1L8H9M7	esyt1.S	esyt1.S	23344	ESYT1
A0A1L8H9N0	ddx23.S	ddx23.S	9416	DDX23
A0A1L8H9R2	timeless.S	timeless.S	8914	TIMELESS
A0A1L8H9S2	shmt2.S	shmt2.S	6472	SHMT2
A0A1L8H9V6	os9.S	os9.S	10956	OS9
A0A1L8HA79	espl1.S	espl1.S	9700	ESPL1
A0A1L8HAA3	cab39l.S	cab39l.S	81617	CAB39L
A0A1L8HAA9	lima1.S	lima1.S	51474	LIMA1
A0A1L8HAE0	krt7.S	krt7.S	3855	KRT7
A0A1L8HAE7	nhlrc3.S	nhlrc3.S	387921	NHLRC3
A0A1L8HAI8	uspl1.S	uspl1.S	10208	USPL1
A0A1L8HAJ1	alg5.S	alg5.S	29880	ALG5
A0A1L8HAJ5	cox14.S	cox14.S	84987	COX14
A0A1L8HAL0	n4bp2l2.S	n4bp2l2.S	10443	N4BP2L2
A0A1L8HAN9	pan3.S	pan3.S	255967	PAN3
A0A1L8HAP3	lats2.S	lats2.S	26524	LATS2
A0A1L8HAP4	ift88.S	ift88.S	8100	IFT88
A0A1L8HAQ4	zmym2.S	zmym2.S	7750	ZMYM2
A0A1L8HAW1	rdx.S	rdx.S	5962	RDX
A0A1L8HAY4	alkbh8.S	alkbh8.S	91801	ALKBH8
A0A1L8HAZ6	cep57.S	cep57.S	9702	CEP57
A0A1L8HAZ7	ctsc.S	ctsc.S	1075	CTSC
A0A1L8HB13	rsf1.S	rsf1.S	51773	RSF1
A0A1L8HB26	pcf11.S	pcf11.S	51585	PCF11
A0A1L8HB52	nars2.S	nars2.S	79731	NARS2
A0A1L8HB53	emsy.S	emsy.S	56946	EMSY
A0A1L8HB59	capn5.S	capn5.S	726	CAPN5
A0A1L8HB74	LOC108710033	ccdc90b.S	60492	CCDC90B
A0A1L8HB76	thap12.S	thap12.S	5612	THAP12
A0A1L8HB94	c2cd3.S	c2cd3.S	26005	C2CD3
A0A1L8HBI7	zar1l.S	zar1l.S	646799	ZAR1L
A0A1L8HBI9	numa1.S	numa1.S	4926	NUMA1
A0A1L8HBP0	rrp8.S	rrp8.S	23378	RRP8
A0A1L8HBP7	vps16.S	vps16.S	64601	VPS16
A0A1L8HBU3	cfap44.L	cfap44.L	55779	CFAP44
A0A1L8HBW3	kpna1.L	kpna1.L	3836	KPNA1
A0A1L8HBW8	trappc10.L	trappc10.L	7109	TRAPPC10
A0A1L8HBZ0	ndc80.L	ndc80.L	10403	NDC80
A0A1L8HBZ7	polq.L	polq.L	10721	POLQ
A0A1L8HC24	ccdc191.L	ccdc191.L	57577	CCDC191
A0A1L8HCA9	upk1b.L	upk1b.L	7348	UPK1B
A0A1L8HCB8	zbtb21.L	zbtb21.L	49854	ZBTB21
A0A1L8HCG6	hlcs.L	hlcs.L	3141	HLCS
A0A1L8HCK9	mis18a.L	mis18a.L	54069	MIS18A
A0A1L8HCP8	cbr1.3.L	cbr1.3.L	873	CBR1
A0A1L8HCS3	gart.L	gart.L	2618	GART
A0A1L8HCS5	mrpl39.L	mrpl39.L	54148	MRPL39
A0A1L8HCY3	cxadr.L	cxadr.L	1525	CXADR
A0A1L8HD03	shpk.L	shpk.L	23729	SHPK
A0A1L8HD14	trpv2.L	trpv2.L	51393	TRPV2
A0A1L8HD17	LOC108707928	spata22.L	84690	SPATA22
A0A1L8HD55	specc1.L	specc1.L	92521	SPECC1
A0A1L8HD56	cpd.L	cpd.L	1362	CPD
A0A1L8HD59	LOC108707956	spag5.L	10615	SPAG5
A0A1L8HD78	smg6.L	smg6.L	23293	SMG6
A0A1L8HD90	smyd4.L	smyd4.L	114826	SMYD4
A0A1L8HD92	wdr81.L	wdr81.L	124997	WDR81
A0A1L8HDH0	pdk3.L	pdk3.L	5165	PDK3
A0A1L8HDI8	baz1b.L	baz1b.L	9031	BAZ1B
A0A1L8HDK9	sms.L	sms.L	6611	SMS
A0A1L8HDL2	cnksr2.L	cnksr2.L	22866	CNKSR2
A0A1L8HDN7	mbtps2.L	mbtps2.L	51360	MBTPS2
A0A1L8HDV0	smtnl2.L	smtnl2.L	342527	SMTNL2
A0A1L8HE28	adprs.L	adprs.L	54936	ADPRS
A0A1L8HE45	thrap3.L	thrap3.L	9967	THRAP3
A0A1L8HE49	mycbp.L	mycbp.L	26292	MYCBP
A0A1L8HE98	slc9a1.L	slc9a1.L	6548	SLC9A1
A0A1L8HED1	cep85.L	cep85.L	64793	CEP85
A0A1L8HEI7	abhd10.L	abhd10.L	55347	ABHD10
A0A1L8HEJ5	parl.L	parl.L	55486	PARL
A0A1L8HEP1	rnpep.L	rnpep.L	6051	RNPEP
A0A1L8HEX7	ap4b1.L	ap4b1.L	10717	AP4B1
A0A1L8HEY3	dclre1b.L	dclre1b.L	64858	DCLRE1B
A0A1L8HEY8	rsbn1.L	rsbn1.L	54665	RSBN1
A0A1L8HF09	capza1.L	capza1.L	829	CAPZA1
A0A1L8HF67	ddx20.L	ddx20.L	11218	DDX20
A0A1L8HF70	efhc2.L	efhc2.L	80258	EFHC2
A0A1L8HF79	nme7.L	nme7.L	29922	NME7
A0A1L8HF80	ccdc181.L	ccdc181.L	57821	CCDC181
A0A1L8HF82	f5.L	f5.L	2153	F5
A0A1L8HF91	tekt2.L	tekt2.L	27285	TEKT2
A0A1L8HFC4	hnrnpr.L	hnrnpr.L	10236	HNRNPR
A0A1L8HFC8	atp1b1.L	atp1b1.L	481	ATP1B1
A0A1L8HFE0	mecr.L	mecr.L	51102	MECR
A0A1L8HFF9	sfpq.L	sfpq.L	6421	SFPQ
A0A1L8HFJ1	mrps15.L	mrps15.L	64960	MRPS15
A0A1L8HFL7	lsm10.L	lsm10.L	84967	LSM10
A0A1L8HFM2	kdm1a.L	kdm1a.L	23028	KDM1A
A0A1L8HFN2	luzp1.L	luzp1.L	7798	LUZP1
A0A1L8HFU3	ptrh2.L	ptrh2.L	51651	PTRH2
A0A1L8HFU6	rps6kb1.L	rps6kb1.L	6198	RPS6KB1
A0A1L8HFY0	lypla2.L	lypla2.L	11313	LYPLA2
A0A1L8HFY1	styxl1.L	styxl1.L	51657	STYXL1
A0A1L8HG25	trim37.L	trim37.L	4591	TRIM37
A0A1L8HG35	vps53.L	vps53.L	55275	VPS53
A0A1L8HG39	gemin4.L	gemin4.L	50628	GEMIN4
A0A1L8HG40	rffl.L	rffl.L	117584	RFFL
A0A1L8HG57	rmc1.L	rmc1.L	29919	RMC1
A0A1L8HG58	sumf2.L	sumf2.L	25870	SUMF2
A0A1L8HG59	asl.L	asl.L	435	ASL
A0A1L8HG66	gusb.L	gusb.L	2990	GUSB
A0A1L8HG76	cct6a.L	cct6a.L	908	CCT6A
A0A1L8HG85	nipsnap2.L	nipsnap2.L	2631	NIPSNAP2
A0A1L8HG99	cyb5d2.L	cyb5d2.L	124936	CYB5D2
A0A1L8HGA0	ankfy1.L	ankfy1.L	51479	ANKFY1
A0A1L8HGB0	dhx33.L	dhx33.L	56919	DHX33
A0A1L8HGB1	cep97.L	cep97.L	79598	CEP97
A0A1L8HGB4	mybbp1a.L	mybbp1a.L	10514	MYBBP1A
A0A1L8HGG4	c1qbp.L	c1qbp.L	708	C1QBP
A0A1L8HGI0	tfg.L	tfg.L	10342	TFG
A0A1L8HGP3	trappc2.L	trappc2.L	6399	TRAPPC2
A0A1L8HGQ5	cnot11.L	cnot11.L	55571	CNOT11
A0A1L8HGQ6	LOC108708403	map4k4.L	9448	MAP4K4
A0A1L8HGS0	gas6.L	gas6.L	2621	GAS6
A0A1L8HGS1	upf3a.L	upf3a.L	65110	UPF3A
A0A1L8HGV0	ube3a.L	ube3a.L	7337	UBE3A
A0A1L8HGV4	txndc9.L	txndc9.L	10190	TXNDC9
A0A1L8HGY4	grtp1.L	grtp1.L	79774	GRTP1
A0A1L8HGZ7	rev1.L	rev1.L	51455	REV1
A0A1L8HGZ8	tfdp1.L	tfdp1.L	7027	TFDP1
A0A1L8HH01	tubgcp3.L	tubgcp3.L	10426	TUBGCP3
A0A1L8HH02	naxd.L	naxd.L	55739	NAXD
A0A1L8HH07	pcid2.L	pcid2.L	55795	PCID2
A0A1L8HH08	cul4a.L	cul4a.L	8451	CUL4A
A0A1L8HH43	tmtc4.L	tmtc4.L	84899	TMTC4
A0A1L8HH59	tm9sf2.L	tm9sf2.L	9375	TM9SF2
A0A1L8HH71	pcca.L	pcca.L	5095	PCCA
A0A1L8HH73	uggt2.L	uggt2.L	55757	UGGT2
A0A1L8HH79	ubac2.L	ubac2.L	337867	UBAC2
A0A1L8HHA8	dct.L	dct.L	1638	DCT
A0A1L8HHG7	kbtbd7.L	kbtbd7.L	84078	KBTBD7
A0A1L8HHH5	vwa8.L	vwa8.L	23078	VWA8
A0A1L8HHI9	nufip1.L	nufip1.L	26747	NUFIP1
A0A1L8HHK1	sugt1.L	sugt1.L	10910	SUGT1
A0A1L8HHL1	tsc22d1.L	tsc22d1.L	8848	TSC22D1
A0A1L8HHL7	sucla2.L	sucla2.L	8803	SUCLA2
A0A1L8HHM9	lcp1.L	lcp1.L	3936	LCP1
A0A1L8HHN6	ddx23.L	ddx23.L	9416	DDX23
A0A1L8HHP2	nckap5l.L	nckap5l.L	57701	NCKAP5L
A0A1L8HHU8	prph.L	prph.L	5630	PRPH
A0A1L8HHX5	stat2.L	stat2.L	6773	STAT2
A0A1L8HHY6	atp5f1b.L	atp5f1b.L	506	ATP5F1B
A0A1L8HI31	erbb3.L	erbb3.L	2065	ERBB3
A0A1L8HI64	letmd1.L	letmd1.L	25875	LETMD1
A0A1L8HI69	baz2a.L	baz2a.L	11176	BAZ2A
A0A1L8HI75	os9.L	os9.L	10956	OS9
A0A1L8HI84	smagp.L	smagp.L	57228	SMAGP
A0A1L8HI98	tmprss12.L	tmprss12.L	283471	TMPRSS12
A0A1L8HIE8	tmem106c.L	tmem106c.L	79022	TMEM106C
A0A1L8HIK9	eif4b.L	eif4b.L	1975	EIF4B
A0A1L8HIL0	krt78.4.L	krt78.4.L	196374	KRT78
A0A1L8HIP9	krt8.1.L	krt8.1.L	3856	KRT8
A0A1L8HIU9	spart.L	spart.L	23111	SPART
A0A1L8HIW1	nek5.L	nek5.L	341676	NEK5
A0A1L8HIX3	brca2.L	brca2.L	675	BRCA2
A0A1L8HJ05	pan3.L	pan3.L	255967	PAN3
A0A1L8HJ56	mphosph8.L	mphosph8.L	54737	MPHOSPH8
A0A1L8HJ62	sap18.L	sap18.L	10284	SAP18
A0A1L8HJ77	cfap300.L	cfap300.L	85016	CFAP300
A0A1L8HJA0	endod1.L	endod1.L	23052	ENDOD1
A0A1L8HJA3	mtmr2.L	mtmr2.L	8898	MTMR2
A0A1L8HJK9	zar1l.L	zar1l.L	646799	ZAR1L
A0A1L8HJU3	rrp8.L	rrp8.L	23378	RRP8
A0A1L8HJV3	trim3.L	trim3.L	10612	TRIM3
A0A1L8HJW7	neu3.3.L	neu3.3.L	10825	NEU3
A0A1L8HJY5	arhgef17.L	arhgef17.L	9828	ARHGEF17
A0A1L8HK51	htra2.S	htra2.S	27429	HTRA2
A0A1L8HKE7	pced1a.S	pced1a.S	64773	PCED1A
A0A1L8HKJ7	ubox5.S	ubox5.S	22888	UBOX5
A0A1L8HKM0	suclg1.S	suclg1.S	8802	SUCLG1
A0A1L8HKR4	afap1.S	afap1.S	60312	AFAP1
A0A1L8HKS8	mfsd10.S	mfsd10.S	10227	MFSD10
A0A1L8HKT5	stx18.S	stx18.S	53407	STX18
A0A1L8HKU2	LOC108706532	ccdc96.S	257236	CCDC96
A0A1L8HKX4	dhx15.S	dhx15.S	1665	DHX15
A0A1L8HL57	grxcr1.S	grxcr1.S	389207	GRXCR1
A0A1L8HLF9	acsl1.S	acsl1.S	2180	ACSL1
A0A1L8HLG3	spcs3.S	spcs3.S	60559	SPCS3
A0A1L8HLG6	aadat.S	aadat.S	51166	AADAT
A0A1L8HLJ3	msmo1.S	msmo1.S	6307	MSMO1
A0A1L8HLN2	tmem184c.S	tmem184c.S	55751	TMEM184C
A0A1L8HLS8	plrg1.S	plrg1.S	5356	PLRG1
A0A1L8HLX2	elf2.S	elf2.S	1998	ELF2
A0A1L8HM07	lef1.S	lef1.S	51176	LEF1
A0A1L8HM35	sec24d.S	sec24d.S	9871	SEC24D
A0A1L8HM56	sec24b.S	sec24b.S	10427	SEC24B
A0A1L8HMC3	smarcad1.S	smarcad1.S	56916	SMARCAD1
A0A1L8HMI8	anxa3.S	anxa3.S	306	ANXA3
A0A1L8HMW8	cactin.S	cactin.S	58509	CACTIN
A0A1L8HMX2	hdgfl2.S	hdgfl2.S	84717	HDGFL2
A0A1L8HMX6	ubxn6.S	ubxn6.S	80700	UBXN6
A0A1L8HMY1	dnaja1.S	dnaja1.S	3301	DNAJA1
A0A1L8HN50	rexo1.S	rexo1.S	57455	REXO1
A0A1L8HN52	pigg.S	pigg.S	54872	PIGG
A0A1L8HN67	atp5f1d.S	atp5f1d.S	513	ATP5F1D
A0A1L8HN76	gak.S	gak.S	2580	GAK
A0A1L8HNB7	ndufa7.S	ndufa7.S	4701	NDUFA7
A0A1L8HNE0	ranbp3.S	ranbp3.S	8498	RANBP3
A0A1L8HNG4	ap3d1.S	ap3d1.S	8943	AP3D1
A0A1L8HNK7	safb.S	safb.S	6294	SAFB
A0A1L8HNL2	rab8a.S	rab8a.L	4218	RAB8A
A0A1L8HNU3	ndufb6.S	ndufb6.S	4712	NDUFB6
A0A1L8HNV4	haus6.S	haus6.S	54801	HAUS6
A0A1L8HNY5	ift74.S	ift74.S	80173	IFT74
A0A1L8HP68	anxa1.2.S	anxa1.2.S	301	ANXA1
A0A1L8HPE3	dapk1.S	dapk1.S	1612	DAPK1
A0A1L8HPE5	ubqln1.S	ubqln1.S	29979	UBQLN1
A0A1L8HPH7	homez.S	homez.S	57594	HOMEZ
A0A1L8HPJ3	slc7a7.S	slc7a7.S	9056	SLC7A7
A0A1L8HPJ6	rnf31.S	rnf31.S	55072	RNF31
A0A1L8HPK1	acin1.S	acin1.S	22985	ACIN1
A0A1L8HPN0	psmb5.S	psmb5.S	5693	PSMB5
A0A1L8HPV8	parp2.S	parp2.S	10038	PARP2
A0A1L8HPY4	mtmr3.S	mtmr3.S	8897	MTMR3
A0A1L8HPZ6	iscu.S	iscu.S	23479	ISCU
A0A1L8HQ24	tpst2.S	tpst2.S	8459	TPST2
A0A1L8HQH9	golga3.S	golga3.S	2802	GOLGA3
A0A1L8HQQ1	ift81.S	ift81.S	28981	IFT81
A0A1L8HQR4	hvcn1.S	hvcn1.S	84329	HVCN1
A0A1L8HQT3	erp29.S	erp29.S	10961	ERP29
A0A1L8HQT9	hectd4.S	hectd4.S	283450	HECTD4
A0A1L8HQV4	tesc.S	tesc.S	54997	TESC
A0A1L8HQW9	mzt2b.S	mzt2b.S	80097	MZT2B
A0A1L8HQZ6	tex43.S	tex43.S	389320	TEX43
A0A1L8HR02	aldh7a1.S	aldh7a1.S	501	ALDH7A1
A0A1L8HR21	apc.S	apc.S	324	APC
A0A1L8HR24	tmed7.S	tmed7.S	51014	TMED7
A0A1L8HR25	dcp2.S	dcp2.S	167227	DCP2
A0A1L8HR64	ell2.S	ell2.S	22936	ELL2
A0A1L8HR66	chd1.S	chd1.S	1105	CHD1
A0A1L8HRB0	gtf2h2.S	gtf2h2.S	2966	GTF2H2
A0A1L8HRB1	smn1.S	smn1.S	6606	SMN1
A0A1L8HRC3	tnpo1.S	tnpo1.S	3842	TNPO1
A0A1L8HRF2	fam169a.S	fam169a.S	26049	FAM169A
A0A1L8HRG4	scamp1.S	scamp1.S	9522	SCAMP1
A0A1L8HRG9	utp15.S	utp15.S	84135	UTP15
A0A1L8HRJ7	aggf1.S	aggf1.S	55109	AGGF1
A0A1L8HRK6	mtrex.S	mtrex.S	23517	MTREX
A0A1L8HRN5	nnt.S	nnt.S	23530	NNT
A0A1L8HRV8	nars1.S	nars1.S	4677	NARS1
A0A1L8HRW0	atp8b1.S	atp8b1.S	5205	ATP8B1
A0A1L8HRX1	sub1.S	sub1.S	10923	SUB1
A0A1L8HRZ7	me2.S	me2.S	4200	ME2
